Name,Time,Cumulative PnL
GroupOneStrategy,2019-Oct-10 13:30:25.389000,0.000000
GroupOneStrategy,2019-Oct-10 13:31:34.467000,0.000000
GroupOneStrategy,2019-Oct-10 13:32:45.833000,17.880294
GroupOneStrategy,2019-Oct-10 13:33:57.487000,-18.239277
GroupOneStrategy,2019-Oct-10 13:35:00.293000,-51.475802
GroupOneStrategy,2019-Oct-10 13:36:16.434000,361.111229
GroupOneStrategy,2019-Oct-10 13:37:44.139000,551.611557
GroupOneStrategy,2019-Oct-10 13:38:52.564000,418.405552
GroupOneStrategy,2019-Oct-10 13:40:06.764000,765.965912
GroupOneStrategy,2019-Oct-10 13:41:22.977000,677.436870
GroupOneStrategy,2019-Oct-10 13:42:28.974000,446.407728
GroupOneStrategy,2019-Oct-10 13:43:49.107000,432.938330
GroupOneStrategy,2019-Oct-10 13:44:50.553000,426.056448
GroupOneStrategy,2019-Oct-10 13:45:51.114000,423.586803
GroupOneStrategy,2019-Oct-10 13:46:55.227000,872.589114
GroupOneStrategy,2019-Oct-10 13:48:00.254000,357.035147
GroupOneStrategy,2019-Oct-10 13:49:05.513000,1004.329803
GroupOneStrategy,2019-Oct-10 13:50:11.909000,2937.587045
GroupOneStrategy,2019-Oct-10 13:51:12.945000,8814.038941
GroupOneStrategy,2019-Oct-10 13:52:17.866000,5909.400374
GroupOneStrategy,2019-Oct-10 13:53:21.733000,11622.304259
GroupOneStrategy,2019-Oct-10 13:54:33.169000,12837.699893
GroupOneStrategy,2019-Oct-10 13:55:34.931000,11072.862411
GroupOneStrategy,2019-Oct-10 13:56:45.373000,12968.243045
GroupOneStrategy,2019-Oct-10 13:57:52.436000,18373.361800
GroupOneStrategy,2019-Oct-10 13:58:56.914000,24050.706669
GroupOneStrategy,2019-Oct-10 14:00:06.632000,24435.648166
GroupOneStrategy,2019-Oct-10 14:01:12.984000,20586.417670
GroupOneStrategy,2019-Oct-10 14:02:19.515000,18454.716269
GroupOneStrategy,2019-Oct-10 14:03:30.926000,24916.113979
GroupOneStrategy,2019-Oct-10 14:04:38.716000,24551.560032
GroupOneStrategy,2019-Oct-10 14:05:45.303000,23429.023138
GroupOneStrategy,2019-Oct-10 14:07:03.179000,21783.446362
GroupOneStrategy,2019-Oct-10 14:08:09.103000,16002.771101
GroupOneStrategy,2019-Oct-10 14:09:27.817000,16415.771101
GroupOneStrategy,2019-Oct-10 14:10:39.177000,16410.685290
GroupOneStrategy,2019-Oct-10 14:11:54.413000,13842.509917
GroupOneStrategy,2019-Oct-10 14:13:21.518000,13414.509917
GroupOneStrategy,2019-Oct-10 14:14:31.595000,15126.509917
GroupOneStrategy,2019-Oct-10 14:15:48.154000,23353.679032
GroupOneStrategy,2019-Oct-10 14:16:55.813000,17226.574827
GroupOneStrategy,2019-Oct-10 14:18:17.449000,27951.121826
GroupOneStrategy,2019-Oct-10 14:19:18.112000,26589.921566
GroupOneStrategy,2019-Oct-10 14:20:51.814000,27030.417518
GroupOneStrategy,2019-Oct-10 14:22:15.729000,28930.491598
GroupOneStrategy,2019-Oct-10 14:23:37.219000,27018.491598
GroupOneStrategy,2019-Oct-10 14:24:45.881000,25582.816494
GroupOneStrategy,2019-Oct-10 14:25:57.914000,25582.816494
GroupOneStrategy,2019-Oct-10 14:27:18.239000,25582.641357
GroupOneStrategy,2019-Oct-10 14:28:35.680000,26103.087040
GroupOneStrategy,2019-Oct-10 14:29:45.358000,23643.087040
GroupOneStrategy,2019-Oct-10 14:31:02.523000,25107.186085
GroupOneStrategy,2019-Oct-10 14:32:06.126000,22131.186085
GroupOneStrategy,2019-Oct-10 14:33:23.654000,18163.186085
GroupOneStrategy,2019-Oct-10 14:34:41.303000,22145.433566
GroupOneStrategy,2019-Oct-10 14:35:50.320000,23648.882438
GroupOneStrategy,2019-Oct-10 14:36:58.443000,24144.681922
GroupOneStrategy,2019-Oct-10 14:38:08.383000,22120.156274
GroupOneStrategy,2019-Oct-10 14:39:18.677000,28755.079766
GroupOneStrategy,2019-Oct-10 14:40:29.756000,26673.951339
GroupOneStrategy,2019-Oct-10 14:41:44.149000,21907.224827
GroupOneStrategy,2019-Oct-10 14:42:48.844000,28325.998718
GroupOneStrategy,2019-Oct-10 14:44:04.795000,26176.846443
GroupOneStrategy,2019-Oct-10 14:45:22.810000,29457.545261
GroupOneStrategy,2019-Oct-10 14:46:26.400000,30566.319936
GroupOneStrategy,2019-Oct-10 14:47:35.340000,29443.444819
GroupOneStrategy,2019-Oct-10 14:48:38.941000,29442.394464
GroupOneStrategy,2019-Oct-10 14:49:51.484000,22686.219405
GroupOneStrategy,2019-Oct-10 14:51:04.288000,27190.219405
GroupOneStrategy,2019-Oct-10 14:52:11.817000,29441.519168
GroupOneStrategy,2019-Oct-10 14:53:12.741000,32832.769181
GroupOneStrategy,2019-Oct-10 14:54:21.235000,36262.669814
GroupOneStrategy,2019-Oct-10 14:55:33.396000,36245.221203
GroupOneStrategy,2019-Oct-10 14:56:45.597000,39758.824731
GroupOneStrategy,2019-Oct-10 14:58:03.414000,47028.989272
GroupOneStrategy,2019-Oct-10 14:59:10.364000,45702.826114
GroupOneStrategy,2019-Oct-10 15:00:16.919000,47006.059979
GroupOneStrategy,2019-Oct-10 15:01:21.574000,38940.739522
GroupOneStrategy,2019-Oct-10 15:02:32.665000,47749.467314
GroupOneStrategy,2019-Oct-10 15:03:37.860000,42972.268365
GroupOneStrategy,2019-Oct-10 15:04:39.216000,42965.394547
GroupOneStrategy,2019-Oct-10 15:05:58.948000,51275.724800
GroupOneStrategy,2019-Oct-10 15:07:08.959000,49158.984638
GroupOneStrategy,2019-Oct-10 15:08:13.731000,48454.363925
GroupOneStrategy,2019-Oct-10 15:09:13.928000,52765.514646
GroupOneStrategy,2019-Oct-10 15:10:30.488000,49153.768030
GroupOneStrategy,2019-Oct-10 15:11:51.395000,56434.751850
GroupOneStrategy,2019-Oct-10 15:13:04.821000,52749.156325
