Name,Time,Cumulative PnL
GroupOneStrategy,2019-Oct-10 15:22:27.655000,10.677122
GroupOneStrategy,2019-Oct-10 15:23:52.791000,12.177122
GroupOneStrategy,2019-Oct-10 15:25:00.203000,11.677122
GroupOneStrategy,2019-Oct-10 15:26:25.965000,17.177122
GroupOneStrategy,2019-Oct-10 15:27:29.747000,14.677122
GroupOneStrategy,2019-Oct-10 15:28:35.774000,14.502264
GroupOneStrategy,2019-Oct-10 15:29:39.921000,14.502264
GroupOneStrategy,2019-Oct-10 15:30:50.210000,15.207406
GroupOneStrategy,2019-Oct-10 15:32:00.816000,19.087406
GroupOneStrategy,2019-Oct-10 15:33:09.396000,18.912504
GroupOneStrategy,2019-Oct-10 15:34:44.873000,18.912504
GroupOneStrategy,2019-Oct-10 15:36:01.638000,18.912504
GroupOneStrategy,2019-Oct-10 15:37:10.191000,23.792504
GroupOneStrategy,2019-Oct-10 15:38:12.142000,21.292504
GroupOneStrategy,2019-Oct-10 15:39:23.483000,21.292504
GroupOneStrategy,2019-Oct-10 15:40:36.153000,26.292504
GroupOneStrategy,2019-Oct-10 15:41:37.842000,25.617467
GroupOneStrategy,2019-Oct-10 15:42:44.990000,25.322419
GroupOneStrategy,2019-Oct-10 15:43:53.382000,26.202419
GroupOneStrategy,2019-Oct-10 15:45:05.323000,26.202419
GroupOneStrategy,2019-Oct-10 15:46:15.458000,26.527338
GroupOneStrategy,2019-Oct-10 15:47:39.953000,26.527338
GroupOneStrategy,2019-Oct-10 15:48:54.356000,26.527338
GroupOneStrategy,2019-Oct-10 15:49:57.896000,26.527338
GroupOneStrategy,2019-Oct-10 15:51:19.555000,26.527338
GroupOneStrategy,2019-Oct-10 15:52:40.119000,26.527338
GroupOneStrategy,2019-Oct-10 15:53:41.953000,26.527338
GroupOneStrategy,2019-Oct-10 15:54:58.403000,29.407338
GroupOneStrategy,2019-Oct-10 15:56:06.177000,28.437432
GroupOneStrategy,2019-Oct-10 15:57:08.703000,31.317432
GroupOneStrategy,2019-Oct-10 15:58:15.851000,35.142328
GroupOneStrategy,2019-Oct-10 15:59:18.759000,35.142328
GroupOneStrategy,2019-Oct-10 16:00:26.989000,40.022328
GroupOneStrategy,2019-Oct-10 16:01:37.265000,35.022328
GroupOneStrategy,2019-Oct-10 16:02:43.295000,34.847358
GroupOneStrategy,2019-Oct-10 16:04:02.257000,34.847358
GroupOneStrategy,2019-Oct-10 16:05:20.884000,34.847358
GroupOneStrategy,2019-Oct-10 16:06:27.105000,34.847358
GroupOneStrategy,2019-Oct-10 16:07:39.901000,37.227358
GroupOneStrategy,2019-Oct-10 16:08:46.272000,36.727358
GroupOneStrategy,2019-Oct-10 16:09:59.207000,39.727358
GroupOneStrategy,2019-Oct-10 16:10:59.329000,38.727358
GroupOneStrategy,2019-Oct-10 16:12:13.374000,36.552378
GroupOneStrategy,2019-Oct-10 16:13:22.391000,36.552378
GroupOneStrategy,2019-Oct-10 16:14:36.844000,34.432378
GroupOneStrategy,2019-Oct-10 16:15:40.360000,34.432378
GroupOneStrategy,2019-Oct-10 16:16:45.885000,38.432378
GroupOneStrategy,2019-Oct-10 16:17:51.700000,39.932378
GroupOneStrategy,2019-Oct-10 16:18:52.846000,41.932378
GroupOneStrategy,2019-Oct-10 16:20:06.999000,44.432378
GroupOneStrategy,2019-Oct-10 16:21:09.493000,44.432378
GroupOneStrategy,2019-Oct-10 16:22:09.902000,47.432378
GroupOneStrategy,2019-Oct-10 16:23:33.472000,47.432378
GroupOneStrategy,2019-Oct-10 16:24:35.883000,47.432378
GroupOneStrategy,2019-Oct-10 16:25:42.203000,53.432378
GroupOneStrategy,2019-Oct-10 16:26:51.203000,50.432378
GroupOneStrategy,2019-Oct-10 16:28:13.541000,50.932378
GroupOneStrategy,2019-Oct-10 16:29:27.197000,50.432378
GroupOneStrategy,2019-Oct-10 16:30:39.511000,54.932378
GroupOneStrategy,2019-Oct-10 16:31:48.361000,54.932378
GroupOneStrategy,2019-Oct-10 16:33:10.296000,54.932378
GroupOneStrategy,2019-Oct-10 16:34:12.736000,57.756915
GroupOneStrategy,2019-Oct-10 16:35:21.651000,57.636915
GroupOneStrategy,2019-Oct-10 16:36:33.350000,58.165923
GroupOneStrategy,2019-Oct-10 16:37:36.485000,58.165923
GroupOneStrategy,2019-Oct-10 16:38:44.348000,58.165923
GroupOneStrategy,2019-Oct-10 16:39:52.444000,58.165923
GroupOneStrategy,2019-Oct-10 16:41:02.559000,58.165923
GroupOneStrategy,2019-Oct-10 16:42:38.361000,58.165923
GroupOneStrategy,2019-Oct-10 16:43:53.479000,58.165923
GroupOneStrategy,2019-Oct-10 16:44:59.706000,58.165923
GroupOneStrategy,2019-Oct-10 16:46:13.610000,58.165923
GroupOneStrategy,2019-Oct-10 16:47:21.535000,58.165923
GroupOneStrategy,2019-Oct-10 16:48:28.864000,58.165923
