StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
GroupOneStrategy,2019-Oct-10 13:37:59.964000,VXX,100,25.225000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053177,,FILL
GroupOneStrategy,2019-Oct-10 13:38:35.298000,VXX,-100,25.235000,0.176526,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053178,,FILL
GroupOneStrategy,2019-Oct-10 13:38:40.526000,VXX,100,25.200000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053179,,FILL
GroupOneStrategy,2019-Oct-10 13:39:31.509000,VXX,-100,25.140000,0.176314,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053180,,FILL
GroupOneStrategy,2019-Oct-10 13:40:14.265000,VXX,100,25.155000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053181,,FILL
GroupOneStrategy,2019-Oct-10 13:40:41.733000,VXX,-100,25.155000,0.176347,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053182,,FILL
GroupOneStrategy,2019-Oct-10 13:41:22.977000,VXX,100,25.155000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053183,,FILL
GroupOneStrategy,2019-Oct-10 13:42:09.411000,VXX,-100,25.155000,0.176347,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053184,,FILL
GroupOneStrategy,2019-Oct-10 13:43:02.321000,VXX,100,25.170000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053185,,FILL
GroupOneStrategy,2019-Oct-10 13:43:12.454000,VXX,-100,25.170000,0.176381,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053186,,FILL
GroupOneStrategy,2019-Oct-10 13:45:02.146000,VXX,100,25.180000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053187,,FILL
GroupOneStrategy,2019-Oct-10 13:45:04.552000,VXX,-100,25.180000,0.176403,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053188,,FILL
GroupOneStrategy,2019-Oct-10 13:47:25.912000,VXX,100,25.150000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053189,,FILL
GroupOneStrategy,2019-Oct-10 13:47:28.150000,VXX,-100,25.150000,0.176336,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053190,,FILL
GroupOneStrategy,2019-Oct-10 13:47:29.851000,VXX,100,25.150000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053191,,FILL
GroupOneStrategy,2019-Oct-10 13:47:39.490000,VXX,-100,25.200000,0.176448,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053192,,FILL
GroupOneStrategy,2019-Oct-10 13:47:42.574000,VXX,100,25.200000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053193,,FILL
GroupOneStrategy,2019-Oct-10 13:47:42.641000,VXX,-100,25.200000,0.176448,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053194,,FILL
GroupOneStrategy,2019-Oct-10 13:50:08.782000,VXX,100,25.060000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053195,,FILL
GroupOneStrategy,2019-Oct-10 13:50:08.782000,VXX,-100,25.060000,0.176134,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053196,,FILL
GroupOneStrategy,2019-Oct-10 13:50:08.812000,VXX,100,25.060000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053197,,FILL
GroupOneStrategy,2019-Oct-10 13:50:10.176000,VXX,-100,25.060000,0.176134,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053198,,FILL
GroupOneStrategy,2019-Oct-10 13:50:10.205000,VXX,100,25.060000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361417203053199,,FILL
