Name,Time,Cumulative PnL
GroupOneStrategy,2019-Oct-10 12:39:29.949000,0.000000
GroupOneStrategy,2019-Oct-10 13:21:34.138000,0.000000
GroupOneStrategy,2019-Oct-10 13:26:00.966000,0.000000
GroupOneStrategy,2019-Oct-10 13:30:00.566000,0.000000
GroupOneStrategy,2019-Oct-10 13:31:13.819000,0.000000
GroupOneStrategy,2019-Oct-10 13:32:24.475000,-1.120000
GroupOneStrategy,2019-Oct-10 13:33:39.831000,-0.120000
GroupOneStrategy,2019-Oct-10 13:34:44.216000,0.880000
GroupOneStrategy,2019-Oct-10 13:35:59.802000,-9.296448
GroupOneStrategy,2019-Oct-10 13:37:15.322000,-9.296448
GroupOneStrategy,2019-Oct-10 13:38:16.129000,-4.416448
GroupOneStrategy,2019-Oct-10 13:39:29.474000,-14.916448
GroupOneStrategy,2019-Oct-10 13:40:41.733000,-18.212762
GroupOneStrategy,2019-Oct-10 13:41:46.794000,-18.509109
GroupOneStrategy,2019-Oct-10 13:43:02.321000,-18.685456
GroupOneStrategy,2019-Oct-10 13:44:22.396000,-18.981837
GroupOneStrategy,2019-Oct-10 13:45:35.324000,-18.981837
GroupOneStrategy,2019-Oct-10 13:46:39.597000,-18.981837
GroupOneStrategy,2019-Oct-10 13:47:41.504000,-14.101837
GroupOneStrategy,2019-Oct-10 13:48:50.315000,-17.278218
GroupOneStrategy,2019-Oct-10 13:49:56.899000,-17.278218
GroupOneStrategy,2019-Oct-10 13:50:57.824000,-13.962419
GroupOneStrategy,2019-Oct-10 13:52:02.710000,-4.258397
GroupOneStrategy,2019-Oct-10 13:53:06.517000,-8.554218
GroupOneStrategy,2019-Oct-10 13:54:15.474000,-8.554218
GroupOneStrategy,2019-Oct-10 13:55:19.524000,-9.174218
GroupOneStrategy,2019-Oct-10 13:56:29.264000,-9.349859
GroupOneStrategy,2019-Oct-10 13:57:37.422000,-9.441008
GroupOneStrategy,2019-Oct-10 13:58:56.914000,-9.441008
GroupOneStrategy,2019-Oct-10 14:00:06.632000,-9.441008
GroupOneStrategy,2019-Oct-10 14:01:12.984000,-7.151418
GroupOneStrategy,2019-Oct-10 14:02:19.515000,-4.446779
GroupOneStrategy,2019-Oct-10 14:03:30.926000,-12.417234
GroupOneStrategy,2019-Oct-10 14:04:38.716000,-12.712382
GroupOneStrategy,2019-Oct-10 14:05:45.303000,-13.422747
GroupOneStrategy,2019-Oct-10 14:07:03.179000,-11.717930
GroupOneStrategy,2019-Oct-10 14:08:09.103000,-4.717930
GroupOneStrategy,2019-Oct-10 14:09:27.817000,-5.217930
GroupOneStrategy,2019-Oct-10 14:10:39.177000,-5.513302
GroupOneStrategy,2019-Oct-10 14:11:54.413000,-2.513302
GroupOneStrategy,2019-Oct-10 14:13:21.518000,-2.013302
GroupOneStrategy,2019-Oct-10 14:14:31.595000,-4.013302
GroupOneStrategy,2019-Oct-10 14:15:48.154000,-6.688653
GroupOneStrategy,2019-Oct-10 14:16:55.813000,-6.688653
GroupOneStrategy,2019-Oct-10 14:18:17.449000,-6.688653
GroupOneStrategy,2019-Oct-10 14:19:18.112000,-6.688653
GroupOneStrategy,2019-Oct-10 14:20:51.814000,-6.688653
GroupOneStrategy,2019-Oct-10 14:22:15.729000,-5.808653
GroupOneStrategy,2019-Oct-10 14:23:37.219000,-3.808653
GroupOneStrategy,2019-Oct-10 14:24:45.881000,-2.308653
GroupOneStrategy,2019-Oct-10 14:25:57.914000,-2.308653
GroupOneStrategy,2019-Oct-10 14:27:18.239000,-2.308653
GroupOneStrategy,2019-Oct-10 14:28:35.680000,-1.398995
GroupOneStrategy,2019-Oct-10 14:29:45.358000,1.101005
GroupOneStrategy,2019-Oct-10 14:31:02.523000,-3.694077
GroupOneStrategy,2019-Oct-10 14:32:06.126000,-0.694077
GroupOneStrategy,2019-Oct-10 14:33:23.654000,3.305923
GroupOneStrategy,2019-Oct-10 14:34:41.303000,-1.459814
GroupOneStrategy,2019-Oct-10 14:35:50.320000,-1.459814
GroupOneStrategy,2019-Oct-10 14:36:58.443000,0.920186
GroupOneStrategy,2019-Oct-10 14:38:08.383000,2.744970
GroupOneStrategy,2019-Oct-10 14:39:18.677000,2.744970
GroupOneStrategy,2019-Oct-10 14:40:29.756000,3.534773
GroupOneStrategy,2019-Oct-10 14:41:44.149000,7.859557
GroupOneStrategy,2019-Oct-10 14:42:48.844000,7.859557
GroupOneStrategy,2019-Oct-10 14:44:04.795000,7.859557
GroupOneStrategy,2019-Oct-10 14:45:22.810000,7.859557
GroupOneStrategy,2019-Oct-10 14:46:26.400000,7.859557
GroupOneStrategy,2019-Oct-10 14:47:35.340000,7.859557
GroupOneStrategy,2019-Oct-10 14:48:38.941000,7.564498
GroupOneStrategy,2019-Oct-10 14:49:51.484000,13.444498
GroupOneStrategy,2019-Oct-10 14:51:04.288000,9.444498
GroupOneStrategy,2019-Oct-10 14:52:11.817000,7.444498
GroupOneStrategy,2019-Oct-10 14:53:12.741000,5.179477
GroupOneStrategy,2019-Oct-10 14:54:21.235000,5.179477
GroupOneStrategy,2019-Oct-10 14:55:33.396000,5.179477
GroupOneStrategy,2019-Oct-10 14:56:45.597000,5.179477
GroupOneStrategy,2019-Oct-10 14:58:03.414000,5.179477
GroupOneStrategy,2019-Oct-10 14:59:10.364000,7.384731
GroupOneStrategy,2019-Oct-10 15:00:16.919000,7.384731
GroupOneStrategy,2019-Oct-10 15:01:21.574000,10.264731
GroupOneStrategy,2019-Oct-10 15:02:32.665000,5.589974
GroupOneStrategy,2019-Oct-10 15:03:37.860000,5.589974
GroupOneStrategy,2019-Oct-10 15:04:39.216000,5.589974
GroupOneStrategy,2019-Oct-10 15:05:58.948000,5.589974
GroupOneStrategy,2019-Oct-10 15:07:08.959000,5.589974
GroupOneStrategy,2019-Oct-10 15:08:13.731000,3.969974
GroupOneStrategy,2019-Oct-10 15:09:13.928000,1.295330
GroupOneStrategy,2019-Oct-10 15:10:30.488000,1.295330
GroupOneStrategy,2019-Oct-10 15:11:51.395000,1.295330
GroupOneStrategy,2019-Oct-10 15:13:04.821000,1.295330
GroupOneStrategy,2019-Oct-10 15:14:13.478000,1.295330
GroupOneStrategy,2019-Oct-10 15:15:31.516000,1.295330
GroupOneStrategy,2019-Oct-10 15:16:42.736000,1.295330
