StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
GroupOneStrategy,2019-Oct-10 13:37:59.964000,VXX,100,25.225000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794880,,FILL
GroupOneStrategy,2019-Oct-10 13:39:31.509000,VXX,-100,25.140000,0.176314,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794881,,FILL
GroupOneStrategy,2019-Oct-10 13:40:14.265000,VXX,100,25.155000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794882,,FILL
GroupOneStrategy,2019-Oct-10 13:40:41.733000,VXX,-100,25.155000,0.176347,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794883,,FILL
GroupOneStrategy,2019-Oct-10 13:41:22.977000,VXX,100,25.155000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794884,,FILL
GroupOneStrategy,2019-Oct-10 13:42:09.411000,VXX,-100,25.155000,0.176347,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794885,,FILL
GroupOneStrategy,2019-Oct-10 13:43:02.321000,VXX,100,25.170000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794886,,FILL
GroupOneStrategy,2019-Oct-10 13:43:12.454000,VXX,-100,25.170000,0.176381,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794887,,FILL
GroupOneStrategy,2019-Oct-10 13:47:25.920000,VXX,100,25.150000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794888,,FILL
GroupOneStrategy,2019-Oct-10 13:48:11.610000,VXX,-100,25.170000,0.176381,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794889,,FILL
GroupOneStrategy,2019-Oct-10 13:50:08.782000,VXX,100,25.060000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794890,,FILL
GroupOneStrategy,2019-Oct-10 13:50:10.176000,VXX,-100,25.060000,0.176134,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794891,,FILL
GroupOneStrategy,2019-Oct-10 13:50:10.205000,VXX,100,25.060000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794892,,FILL
GroupOneStrategy,2019-Oct-10 13:50:11.909000,VXX,-100,25.060000,0.176134,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794893,,FILL
GroupOneStrategy,2019-Oct-10 13:50:24.795000,VXX,100,24.955000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794894,,FILL
GroupOneStrategy,2019-Oct-10 13:50:34.553000,VXX,-100,25.000000,0.176000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794895,,FILL
GroupOneStrategy,2019-Oct-10 13:50:45.943000,VXX,100,24.970000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794896,,FILL
GroupOneStrategy,2019-Oct-10 13:50:54.986000,VXX,-100,24.970000,0.175933,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794897,,FILL
GroupOneStrategy,2019-Oct-10 13:51:14.368000,VXX,100,24.890000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794898,,FILL
GroupOneStrategy,2019-Oct-10 13:51:56.330000,VXX,-100,24.990000,0.175978,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794899,,FILL
GroupOneStrategy,2019-Oct-10 13:52:16.331000,VXX,100,24.960000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794900,,FILL
GroupOneStrategy,2019-Oct-10 13:52:52.667000,VXX,-100,24.920000,0.175821,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794901,,FILL
GroupOneStrategy,2019-Oct-10 13:55:02.188000,VXX,100,24.845000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794902,,FILL
GroupOneStrategy,2019-Oct-10 13:55:33.452000,VXX,-100,24.840000,0.175642,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794903,,FILL
GroupOneStrategy,2019-Oct-10 13:56:46.777000,VXX,100,24.805000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794904,,FILL
GroupOneStrategy,2019-Oct-10 13:56:50.144000,VXX,-100,24.810000,0.175574,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794905,,FILL
GroupOneStrategy,2019-Oct-10 13:56:57.720000,VXX,100,24.810000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794906,,FILL
GroupOneStrategy,2019-Oct-10 13:57:05.200000,VXX,-100,24.810000,0.175574,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794907,,FILL
GroupOneStrategy,2019-Oct-10 14:00:13.463000,VXX,100,24.645000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794908,,FILL
GroupOneStrategy,2019-Oct-10 14:00:15.497000,VXX,-100,24.645000,0.175205,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794909,,FILL
GroupOneStrategy,2019-Oct-10 14:00:18.855000,VXX,100,24.645000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794910,,FILL
GroupOneStrategy,2019-Oct-10 14:00:22.466000,VXX,-100,24.645000,0.175205,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794911,,FILL
GroupOneStrategy,2019-Oct-10 14:00:23.686000,VXX,100,24.645000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794912,,FILL
GroupOneStrategy,2019-Oct-10 14:02:10.769000,VXX,-100,24.715000,0.175362,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794913,,FILL
GroupOneStrategy,2019-Oct-10 14:02:10.769000,VXX,100,24.715000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361442972794914,,FILL
